contributor,creator,date,identifier,language,title
Columbia University Libraries,"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",1600-01-01T00:00:00Z,ldpd_14734657_000,per,[Khamsah]
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_15265583_000,ara,[Devotional book]
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14734596_000,per,Sharḥ-i Ḥāfiẓ
Columbia University Libraries,,1702-01-01T00:00:00Z,ldpd_14230681_000,ara,al-Ṣaḥīfah al-kāmilah
Columbia University Libraries,"Maḥallāwī, Muḥammad al-Miṣrī",1700-01-01T00:00:00Z,ldpd_14649877_000,ara,[Prayer in the form of praise of the Prophet]
Columbia University Libraries,,1830-01-01T00:00:00Z,ldpd_15467919_000,ara,al-Mulāḥaẓah al-intiqādiyah fī al-sīrah al-Muḥammadīyah
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14649885_000,ota,[İlmihâl]
Columbia University Libraries,"Majlisī, Muḥammad Bāqir ibn Muḥammad Taqī, 1627 or 1628-approximately 1699",1800-01-01T00:00:00Z,ldpd_15265586_000,per,Zād al-maʻād
Columbia University Libraries,"Juvayrī, Muḥammad, active 10th century",1574-01-01T00:00:00Z,ldpd_14734720_000,per,Hādhā kitāb qiṣaṣ al-anbiyāʼ
Columbia University Libraries,,1725-01-01T00:00:00Z,ldpd_13893002_000,ara,[Collection of prayers]
Columbia University Libraries,,1800-01-01T00:00:00Z,ldpd_14642702_000,ara,Hādhā ḥijāb ʻaẓīm al-shaʼn wa-al-burhān
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14642793_000,ara,[Devotional book]
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_15467920_000,ota,[Șerh-i Hizbü'n-Nevevî]
Columbia University Libraries,"Narḫīzāde, Muḥammed Muṣīb, active 1720",1720-01-01T00:00:00Z,ldpd_14642684_000,ota,Tuḥfat al-ʻirfān
Columbia University Libraries,"Jazūlī, Muḥammad ibn Sulaymān, -1465",1800-01-01T00:00:00Z,ldpd_13604678_000,ara,[Dalāʼil al-khayrāt]
Columbia University Libraries,"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",1870-01-01T00:00:00Z,ldpd_14642796_000,ara,Rubʻ min Dalāʼil al-khayrāt
